user_name,age_range,review,review_star,list_of_recommends
WinaFauziah,25 - 29,"i dont like this product, karena tidak cocok dengan kulitku, pemakaian pertama kulit malah gatel perih,lamalama keliatan kusam berminyak dan bonus bruntusan. teksturnya kental mudah di blend, dan aku kurang suka sama fragrance nya",1,No
aprillia0852,18 and Under,"beli dia karna penasaran kata orang2 bagus buat kulit acne prone,tapi di aku ga cocok bikin kusam jerawat juga nambah yg gede2 dan bikin kulit merah2 gatal banget bikin berminyak juga,pas di aplikasiin dia ada sensasi tinglingnya gitu",1,No
anglmldi,19 - 24,"Sunscreen wardah ini claimnya gel, tapi pas mulai ku oles di tangan teksturnya cream. Warnanya putih, sedikit lengket di mukaku abis di apply. Trus buat di re-apply lagi malah tambah lengket dan perih di mata. Besoknya aku ulang terus menerus pake sunscreen ini malah tumbuh jerawat di dagu yang ukurannya besar-besar😕",1,No
linataurian,25 - 29,"udah pengen banget sekali kali cocok lah sama skincare murah biar gak boros kalau beli skincare, dipaksa2in pake sampe beberapa bulan sampe repurchase dan nyetok eeeh tetep aja gak cocok sebal asli. bruntusannya gak nguatin, secara teksturnya mesti kentel kalau di rate harga segini. yaudah ujung2nya numpuk beserta stoknya, apakah ada yang berminat huwaa",1,No
karinasha,18 and Under,"aku kirain formula baru si wardah ini jadi lebih ringan ternyata dia sangat nggak berjodoh dengan mukaku, pertama dia bikin dakian, kedua bikin muka kusam (aku tau penjelasan tentang sunscreen yang bikin kusam tapi aku tetep ga sreg sama ss wardah ini), ketiga dia bikin oily padahal muka aku normal to dry dan seharusnya kalo make ini jdi lebih lembab tapi feelnya greasy bukan ke moisture terus juga dia menurut aku glowy finish yang kurang nyatu sama kulit, keempat bau citrusnya lumayan nyengat, kelima dia susah di blend dan yang terakhir dia selalu bikin kulit wajah aku jerawatan, jadi menurut ku sunscreen ini big no banget kelebihannya cuma di harganya aja yang murah",1,No
sasa_598,19 - 24,"Aku coba ini karena produk sunscreen yang biasa aku pakai habis dan belum sempat repurchase lagi, akhirnya adikku menawarkan sunscreen yang dia punya. Dan betapa terkejutnya, selang beberapa menit muncul cikal bakal jerawat di area pipi dan bekas jerawatnya ini susah banget hilang. Sedih? Iya",1,No
maulidia_,18 and Under,"[EDIT] Lama kelamaan, produk ini bikin BO di aku.. aku ga ngerti gimana bisa produk yang dulu nya cocok banget sekarang malah kebalikannya. PR lagi nyari sunscreen deh. Cukup sedih karena gak cocok sunscreen murah meriah haha. Setelah sekian lama huhuhu.",1,No
denza,18 and Under,"waktu itu aku habis make sunscreen emina dan bikin breakout. karena pusing ga ada sunscreen, aku asal nyoba aja sunscreen ini. ini teksturnya lumayan cair jadi merembes gitu. habis make ini ada efek whitecast nya terus muka aku langsung panas. wanginya aku ga suka, menurut aku wangi banget. terus langsung breakout juga. karena sayang dibuang, akhirnya aku pake buat di tangan. sangat tidak recommended",1,No
itsdelsn,19 - 24,BIG NO buat ni product aku pakai dua hari aduhhhg fungal acne dimana mana sampe pipi dagu semuka muka ku rusak awalnya aku kira karena krim yang aku pakai ternyata karena sun screen ini btw tipe kulit aku itu acne prone skin dan sama sekali gak cocok pakai ini,1,No
fathimatuuz,18 and Under,super super gasuka smaa sunscreen ini... pertama pake ini karna riview nya bagus kan glowubg dewy2 gtu.. tapi krna dia finishing nya dewy2 gtu jadi super greasy jadi nampung debu gtu.. ANDDD YANG PALING W NGGA SUKA... MATA W SUPER DUPER PERIH SETELAH PAKE INI.. padahal w ngga ngoles di terlalu deket mata.. TAPI PERIH NYA ASTAGHFIRULLAH.. sampe nanggiss nanggiss wehh.. tpi mata w ngga merah cuman dibagian bawah mata itu jadi menggelap hitam gtu kykmata panda padahal w ngga punya.. dan ilang nya lamaaaaa bangett perih nyaa.. sampe mata w berair nangis sangking perih nyaa... sangat sangat no recomend,1,No
retatooo,19 - 24,"Dulu pernah pake produk ini waktu masih kemasan lama dan itu bagus dikulitku ketika udah ganti kemasan idk.. Bad for my skin pori2 jd lebih menonjol, this fragrance so bad menurutku karna yg dlu jauh lebih bagus baunya jg beda, bikin jerawatan batu i'm so sad to say this my favorite product make me disappointed :(",1,No
Fazri_eda,19 - 24,"ini di saranin sma mba yg distore katanya cocok buat kulit berminyak. sempat baca kan tlisan Sunscreen Gel di kemasan, tapi pas di pake teksturnya lotion + ssah buat diblend d wjah aku. dia lengket dan kupikir bakal ilang dan nyerap ke kulit slma beberapa menit, alhasil sampe beberapa jam lengket2nya ga ilang. bkin bruntusan sih enggk tp bikin muka makin berminyak dan kusam.",1,No
cicialvio022,19 - 24,Aku ga cocok pake ini😭padahal liat review orang pada bagus bagus hmmm sedih muka aku merah merah jerawatan kalau pakai ini sedih si tapi emang bener yang cocok diorang belum tentu cocok dikita untung harganya ga mahal jadi ga rugi rugi banget hehehehehehe,1,No
venusoktnd,19 - 24,Terlalu berekspektasi tinggi sama produk ini. Kirain dari namanya dia teksturnya akan ringan dan kaya gel gitu. Ternyata sunscreen ini cream yang thick banget dan lengket pas diaplikasikan ke wajah. Sunscreen ini juga whitecast bukan yang tone up natural. Sangat gak nyaman pakai produk ini. Not recommended sorry,1,No
sweetpeas,18 and Under,"dulu smp 3 tahun pake produk wardah ini teruss, tapi pas sma mulai sadar kalo abis pake produk ini mukaku jadi makin minyakan terus gitu makin keliatan kusam bangetttt. baunya ga menyengat, tekstur gel gt warna putih, ga rekomen sih",1,No
putrienxi,18 and Under,"duhhh ga bangett deh ni produkkkk, habis pake ini besoknya lgsg muncul jerawattt 🙂🙂, ya untungnya sih aku ga lanjut pake ini lagi :) ⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀",1,No
pooohh,19 - 24,"harganya terjangkau banget buat aku waktu jadi mahasiswa, tapi ternyata tidak cocok dimukaa:( bikin kilang minyak padahal kulit ku kering, dan bikin muka jadi beruntusan juga gatau kenapaa:( jadi aku tidak dengan produk ini:(",1,No
tasyafadiaaa,19 - 24,"Inget banget ini sunscreen pertama yg pernah aku cobain pas SMA. Dulu wajah aku typenya berminyak parah, dan aku asal aja beli sunscreen yg sekiranya harganya murah n gampang dicari, dann ketemulah sama si wardah sunscreen ini. Pertama kali cobain ga muncul masalah apapun. Tp hari"" berikutnya mulai kerasa kalo produk ini malah bikin wajah aku kusam, tambah berminyak, bruntusan n jerawatan jugaaa. Dan aku memutuskan buat nggak pakai lagi produk ini, sorry..",1,No
scl3698,25 - 29,"Awal beli ini karena aku belum pernah kenal pentingnya sunscreen, jadi cari yang harga terjangkau dan banyak orang pakai. Ternyata di kulitku gak cocok, pas dipakai itu berminyak banget terus sesudahnya mukaku semakin banyak jerawat. Akhirnya aku stop.",1,No
wiwittanti,19 - 24,"sunscreen pertamaku yg aku coba waktu SMP, dia namanya gel tapi teksturnua creamy, diwajahku ini bikin berminyak, muncul whitecast terus bikin kusam juga, teksturnya juga berat di wajahku:( Tapi syukurlah dia ga bikim breakout.",1,Yes
kanesyasalsa,19 - 24,"aku masih dalam pencarian sunscreen yg cocok, sayangnya wardah gak cocok di akuu. waktu itu aku pake kurang lebih 1-2weeks, setiap pake ini muka berminyak parahhh padahal mukaku combi yg biasanya cuma berminyak di hidung aja dan gatau kenapa selalu ngerasa kusem kucel gt tiap pake ini:(",1,No
dindaseftiyani,19 - 24,"awal pake karena emang lagi nyari sunscreen yg enak dipake. lumayan murah sih, tapi pas dipake ternyata lengket di aku. dan terlalu berminyak. terus ga berapa lama udah muncul jerawat kecil kecil aku pikir gacocok sama produk makeup yg kupake. akhirnya aku stop makeup buat 1 minggu dan cuma pake sunscreen ternyata breakout makin parah.",1,No
Salsaaab__,19 - 24,"Pake ini beberapa hari, dihari pertama pake langsung cekat cekit wkwk trus jadi beruntusan, aku langsung stop setelah 3 kali pake, ga cocok. Baunya sih enak ada bau aloe nya, tp pas dipake kaya berminyak trus rada kusem. ",1,No
puputriys,19 - 24,"Pertama kali coba juga wajtu esema pas booming2 nya pakai suns. Sebelnya aku asal beli ga liat ingridientsnya karena dulu blm paham cuma katanya bagus akhirnya aku beli. Dia teksturnya cair,trs warnya white dan ada sensasi panasnya juga ada wanginya. Trs ngasih white cast diwajah. Gatau kenapa gatal di wajah. Dan perih. Makanya dri situ aku ga coba lagi sampai ke tube yg baru. Dan setelah di cek ternyata ada paraben,silikon,dan eu allergen. Pantes ni muka yg sensitif menolak pakai😭",1,No
imelinda_,18 and Under,"bikin muka lembab tapi ga makin minyakan, jerawat jadi ga ilang ilang kaya hilang satu tumbuh dua, bagusnya dia ga bikin muka makin kusam di siang hari nya. aroma nya juga enak, aromanya hampir mirip sunscreen wardah",1,No
mariskadlp,19 - 24,"di aku ini buruk bgt :') muka ku malah muncul jerawat2 baru, daripada dibuang aku pake ini di tangan sm kaki kyk sunblock biasa wkwk ini di muka lengket dan berminyak banget jadi keliatan kusem gitu di aku :') ",1,No
estnta,19 - 24,"Big no. Greasy bgt lengket di muka terus lama” kaya kusam di aku. Untuk masalah yang ditimbulkan sih untungnya belum ada ya, aku stop pemakaian karena dia tuh lengket banget di muka dan muka jadinya kayak kilang minyak:( sorry tp aku gak bakal rekomen ini sih",1,No
pinketu,18 and Under,"Big noooooooo😭 bikin muka aku tambah berminyak, makin kusem,trus gerahh,sama kyk berat bgt rasanya pengen buru buru cuci mukaa. padahal ss gel cocok bgt buat kulit berminyak tapi yg ini ga bgt di aku :') ss pertama aku dan bikin kecewaaaaa :((",1,No
alamiaul,19 - 24,"Pakai waktu aku SMA, mukanya jadi greasy dan super duper dekil. Aku ngerasa muka jadi berat dan kotor banget setelah beberapa jam pake, kerasa jadi ganggu banget. Ini juga kalo dipikir2 jadinya malah bikin muka kusam dan bikin beruntusan :(",1,No
arifazz,18 and Under,"sunscreen pertama,kata orang bagus untuk kulit berminyak kok diaku jadi jerawat,jerawatnya tu yang gede,belum mateng jadi sakit,komedoan juga,teksturnya agak lengket,aku kurang suka,diaku jadi keliatan berminyak dan kusam, repurchase? impossible",1,No
ameliaedria,19 - 24,sunscreen ini gak cocok di muka aku yang sensitif combinasi. aku pake ini malah muka jadi kusam banget sih. dan muka aku malah berminyak banget. pake produk wardah kurang cocok di muka aku ini. sedih banget padahal pingen pake skincare yang lokal,1,No
Anindyanailah,18 and Under,"Ga cocok sm produknya,udah pake smpai habis satu blm sadar kalau itu gacocok di aku,trus ak beli satu lgi. Wajah jd minyakan parah(apalagi bagian hidung), breakout, jdi kusemmm. Mgkn ini cocoknya utk dryskin ya, di aku yg oilyskin gacocok",1,No
pditasari,19 - 24,"beli ini karena banyak yang bilang bagus. emang sih wanginya enak, teksturnya kurang cepet meresap dan harga terjangkau. tapi gasuka banget abis pake ini trs make up mukanya bikin abu-abu :(((. trs bikin beruntusan jugaaa. ",1,No
dinahryh,19 - 24,"Bikin mukaku jadi super berminyak banget. Dan bau nya kyk bau jeruk gitu ngga sukaaaaa. Tidak disarankan untuk kulit yg oily. Karena akan bikin muka kalian jd berminyak, dan akhirnya makeup luntuuurr. Sayang sekali pdhl product wardah yg lain bagus, tp yg ini super big no for me sorry:(",1,No
sajangnim,18 and Under,sunscreen pertama aku. awalnya aku ga ngerti gitu ya pake ini ko muka aku minyakan parah dan kusem banget. aku ga paham kenapa soalnya dulu baru banget kenal skincare. ternyata ini tandanya gacocok sama aku duh. dia juga ada white castnya gasukaa,1,No
Sarahayu21,19 - 24,"Dulu aku paskib jadi sering panas panasan di lapangan, ini sunscreen pertama akuu, bener benerrr deh gasuka banget, ngga nyerep dan thick. Aku kira tuh yaa dlu semua sunscreen kaya gini, ternyata ngga aku udah nemu sunscreen yang lebih nyerap dimuka aku, maap wardah :(",1,No
andinrlamr,19 - 24,"Pake ini muka langsung panas, perih, merah2, bruntusan bukannya ngelembabin malah ngekusamin. Udah aku terusin selama seminggu lebih tapi malah tambah parah akhirnya aku olesin aja ke tangan dari pada saya dibuang. Pokoknya di aku sama sekali gak cocok",1,No
Lestari_296,18 and Under,"beli ini awal masuk smk maybe dimana kl sekolah bnr2 panas dan baru kenal skincare jd pake aja produk yg ada di iklan2, teksturnya gel warna putih gt meresapnya lama lengket jg dimukaku dan ga cocok bikin beruntusan kurang suka juga aku sama wanginyaa",1,No
Aiiiiiii,25 - 29,"Ngga pernah berjodoh sama produknya wardah ㅠㅠ pakai inipun bikin kapok karena di mukaku malah bikin tambah kaya kilang minyak, baru sebentar juga udah oily bgt.Jadi kupakai beberapa kali doang akhirnya nyerah dan malah sempet bikin nethink sama persunscreenan karena merasa produk sunscreen ngga ada yg cocok buat kulit combi-oily. Padahal dulu beli karena ada embel"" gel di nama produknya. Soalnya aku gasuka produk dg tekstur krim yg terlalu berat. Lebih suka gel krna lebih berasa cepet nyerapnya dn ga bikin minyakan nih muka. Repurchase? Absolutely NO!",1,No
dillahzhr,19 - 24,"kurang cocok di aku, kalo dipakai bikin berminyak bgt terus makin lama malah bikin kusam, baru pemakaian 3x udah buat beruntusan sama fungal acne di dahi padahal jarang bgt ada..baunya big no buat aku terlalu nyengat untuk hidung yg sensitif kaya aku",1,No
randyprawita,25 - 29,"sayang banget wajah ini gak pernah cocok sama satupun produk dari paragon group. padahal kalau elu cocok bahagia banget hidup lo ibaratnya udah murah, sampai ke pelosok desa juga ada produknya. sunscreen ini pas dipakai ya Tuhan bikin wajah jadi kilang minyak luar biasa. padahal texture, aroma, dsb udah enak banget.",1,No
TitanY,18 and Under,"------------------------------------
Pertama Makai sih normal2 aja, tapi lama kelamaan, Fungal Acne ada banyak dong, memang baru tahu ini Sunscreen comedogenic, hati2 ya!
------------------------------------",1,No
Zahrahsya,19 - 24,"Lagi lagi aku adalah manusia yang gampang banget keracunan oleh review temen. Di temen aku cocok, jadi aku iseng beli. Baru pakai pagi, malamnya langsung nongol jerawat 5biji. Aku udah suudzon sama produk ini, jadi aku berhenti. Tapi setelah jerawatnya kempes, aku iseng pengin nyoba lagi katena belum percaya. Dan jerawat itu kembali datang. Fix langsung aku donasiin ke temen aku",1,No
nadilast,18 and Under,"pertama kali pake ini waktu sma pas kulit lagi normal dan gaada masalah sama kulit, karna kepo akhirnya pake punya ibu, setelah 2-4 jam langsung tumbuh jerawat satu yang ada nanahnya dong. gapaham kenapa reaksi nya secepet itu. gabakal nyoba lagi.",1,No
Irma_Fahriyani69,19 - 24,"Kalo masalah tekstur sih gak masalah dan gak bikin kilang minyak tapi gak tau kenapa lama² pake sunscreen ini kulitku makin item dong, mungkin efek proteksinya kurang di aku ya. Repurchase? NO, aku udah nemu sunscreen yang cocok dan affordable.",1,No
meisyaarifa,19 - 24,"aku pake ini pas masi jaman sekolah lg nyari2 sunscreen yg murah, dan aku coba pakai ini tp sorry to say gatau kenapa pas pakai ini berasa minyakan aja wajah, dan jd kusem :( tp klo mama aku yg pakai ga kenapa2 si, mungkin reaksi nya beda2 ya dikulit org, repurchase? Noo",1,No
metewe,19 - 24,ini sunscreem malah bikin muka aku jadi the next top global kilang minyak. big no. setelah pengalaman ga cocok sama bb creamnya akhirnya aku ga abisini 1 tube langsung aku buang sebel bgt bnyk produk wardah yg ga cocok diaku. yo cocok mungkin cuma lip sama eye produknyaaaa,1,No
arvianaftmap,19 - 24,ga cocok dimuka aku langsung bikin jerawatan bruntusan hamya dalam 2x pemakaian. Padahal awalnya berharap lebih karena banyak yang cocok dan produk ini gampang banget di temuin dimana manaa kembali lagi semua produk cocok cocokan yaaaaaa,1,No
nikkadn,18 and Under,"Sunscreen pertamaku, dan dia teksturnya thick bgt dimuka, jd bikin lengket gt setelahnya. Pertama kali kenal sunscreen aku pakenya pas lagi panas""an doang di outdoor kan, pas pake ini, bsknya lgsg tumbuh jerawat 😅😓 makanya aku gaberani pake tiap hari 😂😂 karna kesel pas tiap pake pasti bsk nya jerawatan, ga aku pake lagi pdhl blm abis 😅 ",1,No
ElviraFirda,19 - 24,"Sunscreen lokal yang masih ada whitecastnya saat dipakai. Cukup butuh waktu buat nunggu benarbenar meresap. Harganya affordable dan mudah banget dicari dimanamana. Di aku dia bikin muncul beruntusan di jidat sama dagu. Buat kulitnya yang sensitif sama acne prone cukup hati hati kalo pakai ini ,karena dia masih ada ingredient FRAGRANCE dan Dimethicone.",1,No
shannoneunicee,18 and Under,"gataauuu kenapaa ini gabeda jauh sama si emina, tapi parahan si wardah ini.. gilaa bikin muka tambah demekkk, udah lagi kotor jg muka, trs kusem.. bisa ngebayangin gaksiii :"""" sedih banget pdhl murahh kan, ya jd gabisa berexpect tinggi2 gt",1,No
syafaalfiyyah_,18 and Under,engga ngaruh sama sekali bikin wajah tambah kilang minyak + jerawatan jugak! tambah nambah jerawatnya😭😭. ga terlalu pricey cuma sedih aja gapernah cocok sama wardah. langsung aku buang aja padahal wardah halal apa wajah aku ya yang haram wkwkwk. ,1,No
fanazhr,18 and Under,"sunscreen pertama pas awal baru kenal skincare dan ga baca review lagi karna butuh banget muka lagi belang. ga cocok banget buat kulit oily diaku malah nambah berminyak dan kusam, belangku juga tetep aja. repurchase? no ofc",1,No
prettyprimaz,19 - 24,"Aku pake sun protection ini waktu jaman sma karna disuruh sama ibu aku, sun protection wardah ini bagus sih di ibu aku yang wajahnya cenderung kering. Aku pikir bakal bagus di wajah aku yang waktu itu oily, tapi ternyata malah bikin wajah jadi berasa kilang minyak dan bikin wajah kusam bgt:((",1,No
Lapunzela,19 - 24,"di aku efeknya habis dipake selalu panas dan perih. kupikir cuma di tube pertama doang, ternyata di tube kedua juga efeknya sama. habis itu ga pernah aku pake lagi. bikin areal jidatku jadi bruntusan juga. kupikir cuma aku aja, ternyata rata rata keluarga dan temenku yang make efeknya sama",1,No
honeydew13,19 - 24,"Huhuuu sedih bgt pake ini di kulitku ga cocok, gatel merah langsung jerawatan. Pertama pemakaian langsung aku stop ganti yg lainyaa. Dipake adekku jg dia auto jerawatan emang ga cocok. Teksturnya cream gituu jd agak lembab, auto stop pake ini",1,No
oviefebriana,19 - 24,"Dulu awal awal belajar make up pake sunscreen ini, karena make up wardah awal awal ngehits banget dan terkenal kalo harganya friendly. Pas dipake malah bikin wajah tambah kusam dan berminyak. Jadi kapok mau pake ini, dan langsung ganti ke loreal.",1,No
rizkafebriana,18 and Under,"gaperna cocok pake wardah, begitu nyoba ini ss gel efek cooling nya kerasa, bikin kulit calming juga tapi begitu aku pake kurang lebih semingguan langsung breakout gangerti juga kenapa pdhl udah berharap cocok krn murah:(",1,No
theresia126,19 - 24,"pertama kali nyari ss yg murah dan mudah di dpt jd kepincut sma ss lokal ini, utk harga sih terjangkau serta msh di dptkan dmn aja(apotik, minimarket), cmn dia hasilnya bikin wjah makin berminyak & kusam. Kecewa sih sama produk ini.",1,No
christisyaaa,19 - 24,sempat pakai sunscreen ini sebanyak 2 tube tapi ttp aja gasuka hasilnya. awalnya aku pikir emang kulit aku aja yg tone gelap tapi ternyata setelah ngabisin 2 tube aku perhatikan sunscreen ini emang bikin kulit aku jadi kusam parah. apalg setelah aku coba sunscreen brand lain aku semakin yakin kalo kulit aku ga cocok sama sunscreen ini. BIG NO BANGET SIH. ,1,No
primadestriana,19 - 24,"Gak suka banget pokoknya sama produk ini ih. Maaf ya wardah. Aku pake ini jadi makin berminyak banget, jadi kayak kaleng kerupuk gitu udahan. trus lima harian pake jadi muncul jerawat gede2 padahal sebelumnya udah gak pernah lagi ada jerawat kayak gitu. ih serem",1,No
NgElisabeth,19 - 24,"lagi nyari sunscreen dan lihat review untk wardah lumayan ok, cuss beli, ternyata gak cocok. muka jadi kilang minyak. beruntusan. kusam. jadi aku stop, ga terusin pake ini lagi. repurchase? no. mau coba cari sunscreen lain aja 😅",1,No
dinamahbaitina,19 - 24,"produk wardah tu klaim nya oke oke, harga sesuai juga sama kantong mahasiswa tapi kayanya muka aku memang ga menerima produk dri wardah dengan baik :( karna selalu ga cocok sama setiap produk mereka😌 dimuka aku berasanya ga enak, dan yg aku notice ada sedikit bruntusan waktu aku memakai produk ini",1,No
Brigitaalsa,18 and Under,"waktu itu cobain ini pas sunscreen di rumah lagi abis sih, teksturnya ringan, wanginya juga ga nyengat. harganya sekitar 20-30ribuan di tempatku, ga suka sama product ini karena emang ga ngaruh apa"" sih, bikin muka oily setelah bbrp jam pakai",1,No
fridayukht,19 - 24,"Beli ini karna cukup terjangkau harganya, dari aromanya enak, packagingnya juga bagus, cuma di aku dia teksturnya oily banget, jd setelah pake ini mukaku berminyak parah. Alhasil nambahin bibit beruntusan:( repurchase? no",1,No
nanasofiyy,18 and Under,"Siapa sih yang gak pernah memakai produk Wardah? Tapi jujur ya Ini tuh salah satu produk terjelek yang pernah gua pakai karena sunscreen ini bikin muka kita tuh terlalu lembab terlalu berminyak terlalu lengket terlalu pokoknya Terlalu lah. harganya lebih mahal dari Emina kalau nggak salah walaupun ini produk lokal tapi mau gimana lagi kalaudia tuh emang jelek jadi gue nggak bisa muji-muji Yang gmn2,Astaga dia itu bukan Tuhan ngapain gue Puji2:v",1,No
fazaau,19 - 24,"aku pake ini pertama kali dan yang terjadi adalah bikin muka ku jd kilang minyak :( dan white cast nya parah bangetttt ga ngerti lagi dah kenapa bisa separah itu, sangat ga cocok diaku pokonya deh :((",1,No
retno_koo,18 and Under,"heran kok bisa ga cocok di aku😭 setiap habis cuci muka terus apply ni sunscreen dimuka aku, muka aku jadinya malah minyakan banget kayak kilang minyak. minyakannya ini beneran berminyak banget terus jadi kusem gitu, aku tanya temenku itu tandanya aku ga cocok sama produk ini, huhu sayang banget padahal wardah nyarinya gampang😭",1,No
adhiniakusmawati25,25 - 29,"Awal pakai sunscreen dan ternyata enggak cocok samsek, panas pas udah di apply kerasa kulit kek kebakar. Pemakaian pertama sih biasa aja tapi 3 hari berikutnya malah nunjukin rasa panas di muka walaupun udah di basuh pakai air pun masih sama",1,No
yuyunandini,19 - 24,"aku beli ini dulu karena keabisan sunscreen, awalnya aku mau coba produk lain tp g ada dan akhirnya beli aja di sunscreen ini. jeng jeng jeng aku lupa malam atau besoknya karena ini udh lama langsung muncul bruntusan banyak bgt. biasa nya aku gak pernah bruntusan kalo cocok dengan sunscreen nya, tp dgn yg ini aku gk mau berlama lama. jd lgsg aku stop dan dua hari kemudian langsung ilang bruntusannyaa.. untuk produk kyk night cream yg bikin wajah cerah its okey kalo purging tp aku g bisa kalo itu purging karena sunscreen.",1,No
fajariahfitr,19 - 24,"big no. tekstur nya aku ga suka,dan bikin muka tambah kusam gitu setelah pakai sunscreen ini,terus gatau kenapa ya muka aku gatal gatal omg,terus muncul bruntusan kecil kecil gitu di seluruh muka,aku kira karena produk lain atau muka aku menyesuaikan aja,eh aku terusin pemakaian sampe 1minggu,muka aku malah tambah ga karuan🙃",1,No
Putrivalll,18 and Under,"Waktu itu pertama kali aku coba pake suncreen di rekomendasiin deh sama temen aku pake ini , alhasil aku beli terus besok nya aku pake galama muka ku malah tambah berminyak bangett:( dan timbul bruntusan yang mendem terus mukaku merah merah gajelas",1,No
acaaulia,19 - 24,pertama make karena lupa bawa ss yg saat itu dipunya akhirnya beli ss wardah dadakan krn gampang dicarinya. eh keterusan make sampe sebulan nah malah bikin kusam di muka dan greasy gitu. kurang nyaman. repurchase? no..,1,No
widymaulinda,19 - 24,aku pake ini kiranya bagus ya soalnya banyak yang pake plus review. Eh tau-taunya ga cocok. Pake ini mukaku 2 jam kemudian minyakan parah. Padahal udah naruh harapan besar sih soalnya diantara semua sunscreen ini yg paling murah eh taunya gak cocok,1,No
Chinderella,18 and Under,"Buat ada yang mau beli chat aku ya,,,, belum kupakek sama sekali, soalnya kebeli ٠padahal g kepake.
Chat 0895806174019
Ig @rma_irh.
Aku beli yah dish**pe trus aku pengen balikin barangnya, eh ktnya g boleh ;)",1,No
